bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,probability_bucket,min_probability,max_probability
21,1,0.047619047619047616,21.0,-12.0,-0.5714285714285714,-12.16,-0.579047619047619,-18.0,15.857142857142858,0.09557008329337255,0.022592258133253367,0.06627510251865239,0.6666666666666666,0.005215330695384411,0,0.04205650820824314,0.13442271817874335
36,6,0.16666666666666666,36.0,2.0,0.05555555555555555,1.3599999999999994,0.037777777777777764,-13.0,7.972222222222222,0.18577149169172727,0.05112784694334716,0.003251834691402238,0.5277777777777778,0.012363603748602703,1,0.13675161186197868,0.228395275674367
44,8,0.18181818181818182,44.0,-11.85,-0.2693181818181818,-12.333,-0.28029545454545457,-17.25,4.538181818181818,0.2682268555331531,0.054210243037181145,-0.014501130733116326,0.4090909090909091,0.013165326027279755,2,0.23087932000286115,0.32128440832825544
49,15,0.30612244897959184,49.0,5.370000000000001,0.1095918367346939,4.582600000000001,0.09352244897959186,-8.25,3.5489795918367344,0.3689926960780317,0.09569208047195953,-0.013695243716868505,0.40816326530612246,0.027478130984207223,3,0.3237247552661222,0.4142944832841684
33,9,0.2727272727272727,33.0,-7.31,-0.2215151515151515,-7.6438000000000015,-0.23163030303030308,-9.559999999999999,2.8078787878787876,0.46261090203184535,0.11138112709829015,-0.007134738774037838,0.48484848484848486,0.033511583812342226,4,0.42408554257113784,0.5107095382851607
20,11,0.55,20.0,3.1000000000000005,0.15500000000000003,2.8580000000000005,0.14290000000000003,-2.2,2.2885,0.5549851767598566,0.12963145337244106,-0.001446266709761429,0.5,0.04439281358359437,5,0.515798105682987,0.6043752803714844
19,13,0.6842105263157895,19.0,3.2300000000000004,0.17,3.0454000000000008,0.16028421052631583,-1.2800000000000002,1.7189473684210528,0.6679200249707357,0.11291107328595022,-0.0072115304492461445,0.42105263157894735,0.047321033782150135,6,0.6112989691299731,0.6972931288853603
26,15,0.5769230769230769,26.0,-2.4,-0.0923076923076923,-2.572,-0.09892307692307692,-4.309999999999999,1.5869230769230769,0.748975543342202,0.14373781158139465,-0.0032584523952054766,0.4230769230769231,0.07003729808882549,7,0.6994637459300199,0.7909412523065422
31,21,0.6774193548387096,31.0,-3.4800000000000004,-0.11225806451612905,-3.6104000000000003,-0.11646451612903226,-3.7300000000000004,1.3248387096774195,0.8363806087922651,0.11932783499423705,-0.0042345135496529174,0.3225806451612903,0.07630583253552681,8,0.7948675115448177,0.8811101998322786
26,21,0.8076923076923077,26.0,-1.1899999999999997,-0.045769230769230757,-1.2662000000000002,-0.04870000000000001,-2.15,1.175,0.9390918832866186,0.12751709306445516,-0.0035198160202692865,0.19230769230769232,0.14359431392479227,9,0.886630576522186,0.98
