bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,probability_bucket,min_probability,max_probability
108,5,0.046296296296296294,108.0,-11.0,-0.10185185185185185,-12.84000000000001,-0.11888888888888899,-49.0,16.87962962962963,0.09385943375330742,0.026025530164088484,0.6393005699816834,0.7685185185185185,0.006204008086961554,0,0.030709324364486923,0.12455194222295485
244,31,0.12704918032786885,244.0,-22.0,-0.09016393442622951,-25.820000000000004,-0.10581967213114755,-45.5,7.760245901639344,0.1770243459730786,0.041694632076836664,0.0214263606474887,0.610655737704918,0.009788601229809983,1,0.12574488881140328,0.22039254990616164
348,70,0.20114942528735633,348.0,-40.35,-0.11594827586206898,-45.10300000000001,-0.1296063218390805,-51.650000000000006,4.504310344827586,0.2704779718677318,0.05216552260172936,0.01165771523382903,0.5948275862068966,0.012830147576891802,2,0.22059149973656203,0.3152049225086846
307,86,0.28013029315960913,307.0,-21.369999999999997,-0.06960912052117263,-25.3626,-0.082614332247557,-33.67,3.3613029315960907,0.36027115964612194,0.06885821236400992,0.011176646464161319,0.6449511400651465,0.018596922157653593,3,0.3156634162882648,0.4094897701641436
216,82,0.37962962962962965,216.0,-6.130000000000001,-0.028379629629629633,-8.687400000000004,-0.04021944444444446,-16.719999999999995,2.642314814814815,0.4523563254459863,0.08354774283551902,0.003131185741753053,0.5185185185185185,0.02458500879110017,4,0.41108511179291546,0.5053125502136897
105,56,0.5333333333333333,105.0,10.119999999999997,0.09638095238095236,8.9376,0.08512,-5.09,2.1391428571428572,0.5508504048863038,0.09861515877579088,0.003085419689642879,0.5714285714285714,0.033105227301213166,5,0.5063806997802175,0.6000778258056725
109,68,0.6238532110091743,109.0,5.460000000000001,0.05009174311926606,4.530800000000004,0.04156697247706426,-5.839999999999998,1.7368807339449543,0.6552931839444656,0.10091360062613623,-0.00459968469197478,0.3853211009174312,0.038750988688810724,6,0.6004411766961647,0.6952015134245684
137,98,0.7153284671532847,137.0,6.3199999999999985,0.04613138686131386,5.413600000000003,0.03951532846715331,-5.9799999999999995,1.4753284671532847,0.748182242614987,0.09950445907978504,-0.0003991969494798401,0.40145985401459855,0.04859488737238228,7,0.6957236291544524,0.7885821159290703
199,150,0.7537688442211056,199.0,-5.63,-0.02829145728643216,-6.497399999999993,-0.03265025125628137,-11.0,1.295175879396985,0.8362704646938418,0.09953233439716325,-0.0009289213800020421,0.32663316582914576,0.06523195667147991,8,0.7905513420815987,0.8845469652836366
176,159,0.9034090909090909,176.0,6.830000000000002,0.03880681818181819,6.353400000000001,0.03609886363636364,-2.6499999999999995,1.1513636363636364,0.9421691794183397,0.11478381270204857,-0.0017648406294805167,0.2784090909090909,0.13678626648360598,9,0.8857461298524324,0.98
